INFO 2024-09-12 11:53:44,476 autoreload Watching for file changes with StatReloader
DEBUG 2024-09-12 11:53:44,687 autoreload File /usr/lib/python3.12/lib-dynload/termios.cpython-312-x86_64-linux-gnu.so first seen with mtime 1722447828.0
DEBUG 2024-09-12 11:53:44,687 autoreload File /usr/lib/python3.12/functools.py first seen with mtime 1722447828.0
DEBUG 2024-09-12 11:53:44,687 autoreload File /home/arpreet/Desktop/ContactsApi/myenv/lib/python3.12/site-packages/django/core/handlers/__init__.py first seen with mtime 1723101104.9342263
DEBUG 2024-09-12 11:53:44,687 autoreload File /home/arpreet/Desktop/ContactsApi/myenv/lib/python3.12/site-packages/rest_framework/fields.py first seen with mtime 1723101202.1925838
DEBUG 2024-09-12 11:53:44,687 autoreload File /usr/lib/python3.12/asyncio/selector_events.py first seen with mtime 1722447828.0
DEBUG 2024-09-12 11:53:44,687 autoreload File /home/arpreet/Desktop/ContactsApi/myenv/lib/python3.12/site-packages/django/utils/timezone.py first seen with mtime 1723101105.0102274
DEBUG 2024-09-12 11:53:44,687 autoreload File /home/arpreet/Desktop/ContactsApi/myenv/lib/python3.12/site-packages/rest_framework/status.py first seen with mtime 1723101202.1955838
DEBUG 2024-09-12 11:53:44,687 autoreload File /home/arpreet/Desktop/ContactsApi/myenv/lib/python3.12/site-packages/django/contrib/admin/views/main.py first seen with mtime 1723101104.4732196
DEBUG 2024-09-12 11:53:44,687 autoreload File /usr/lib/python3.12/asyncio/unix_events.py first seen with mtime 1722447828.0
DEBUG 2024-09-12 11:53:44,687 autoreload File /home/arpreet/Desktop/ContactsApi/contactsapi/base.py first seen with mtime 1726138591.497643
DEBUG 2024-09-12 11:53:44,688 autoreload File /usr/lib/python3.12/asyncio/base_tasks.py first seen with mtime 1722447828.0
DEBUG 2024-09-12 11:53:44,688 autoreload File /usr/lib/python3.12/datetime.py first seen with mtime 1722447828.0
DEBUG 2024-09-12 11:53:44,688 autoreload File /home/arpreet/Desktop/ContactsApi/myenv/lib/python3.12/site-packages/sqlparse/filters/right_margin.py first seen with mtime 1723101104.146215
DEBUG 2024-09-12 11:53:44,688 autoreload File /usr/lib/python3.12/types.py first seen with mtime 1722447828.0
DEBUG 2024-09-12 11:53:44,688 autoreload File /home/arpreet/Desktop/ContactsApi/myenv/lib/python3.12/site-packages/django/contrib/postgres/forms/hstore.py first seen with mtime 1723101104.7562237
DEBUG 2024-09-12 11:53:44,688 autoreload File /usr/lib/python3.12/lib-dynload/_bz2.cpython-312-x86_64-linux-gnu.so first seen with mtime 1722447828.0
DEBUG 2024-09-12 11:53:44,688 autoreload File /home/arpreet/Desktop/ContactsApi/myenv/lib/python3.12/site-packages/django/template/loader.py first seen with mtime 1723101104.996227
DEBUG 2024-09-12 11:53:44,688 autoreload File /home/arpreet/Desktop/ContactsApi/myenv/lib/python3.12/site-packages/django/utils/connection.py first seen with mtime 1723101105.0052273
DEBUG 2024-09-12 11:53:44,688 autoreload File /home/arpreet/Desktop/ContactsApi/authentication/msg/views.py first seen with mtime 1726075133.483397
DEBUG 2024-09-12 11:53:44,688 autoreload File /home/arpreet/Desktop/ContactsApi/myenv/lib/python3.12/site-packages/django/contrib/auth/views.py first seen with mtime 1723101104.5182202
DEBUG 2024-09-12 11:53:44,689 autoreload File /home/arpreet/Desktop/ContactsApi/myenv/lib/python3.12/site-packages/pymysql/err.py first seen with mtime 1725696118.914318
DEBUG 2024-09-12 11:53:44,689 autoreload File /home/arpreet/Desktop/ContactsApi/myenv/lib/python3.12/site-packages/django/db/backends/mysql/client.py first seen with mtime 1723101104.9492264
DEBUG 2024-09-12 11:53:44,689 autoreload File /home/arpreet/Desktop/ContactsApi/myenv/lib/python3.12/site-packages/jwt/api_jwk.py first seen with mtime 1723148114.9820678
DEBUG 2024-09-12 11:53:44,689 autoreload File /home/arpreet/Desktop/ContactsApi/myenv/lib/python3.12/site-packages/django/contrib/postgres/__init__.py first seen with mtime 1723101104.7512236
DEBUG 2024-09-12 11:53:44,689 autoreload File /home/arpreet/Desktop/ContactsApi/myenv/lib/python3.12/site-packages/django/contrib/auth/tokens.py first seen with mtime 1723101104.5182202
DEBUG 2024-09-12 11:53:44,689 autoreload File /home/arpreet/Desktop/ContactsApi/myenv/lib/python3.12/site-packages/django/contrib/contenttypes/views.py first seen with mtime 1723101104.564221
DEBUG 2024-09-12 11:53:44,689 autoreload File /home/arpreet/Desktop/ContactsApi/myenv/lib/python3.12/site-packages/sqlparse/formatter.py first seen with mtime 1723101104.1442149
DEBUG 2024-09-12 11:53:44,689 autoreload File /usr/lib/python3.12/email/_header_value_parser.py first seen with mtime 1722447828.0
DEBUG 2024-09-12 11:53:44,689 autoreload File /home/arpreet/Desktop/ContactsApi/myenv/lib/python3.12/site-packages/pymysql/connections.py first seen with mtime 1725696118.9133182
DEBUG 2024-09-12 11:53:44,690 autoreload File /home/arpreet/Desktop/ContactsApi/myenv/lib/python3.12/site-packages/rest_framework/apps.py first seen with mtime 1723101202.1905837
DEBUG 2024-09-12 11:53:44,690 autoreload File /home/arpreet/Desktop/ContactsApi/myenv/lib/python3.12/site-packages/django/contrib/admin/checks.py first seen with mtime 1723101104.3532178
DEBUG 2024-09-12 11:53:44,690 autoreload File /home/arpreet/Desktop/ContactsApi/myenv/lib/python3.12/site-packages/django/core/files/storage/filesystem.py first seen with mtime 1723101104.9332263
DEBUG 2024-09-12 11:53:44,690 autoreload File /home/arpreet/Desktop/ContactsApi/myenv/lib/python3.12/site-packages/django/db/backends/base/base.py first seen with mtime 1723101104.9462264
DEBUG 2024-09-12 11:53:44,690 autoreload File /home/arpreet/Desktop/ContactsApi/myenv/lib/python3.12/site-packages/django/template/loaders/cached.py first seen with mtime 1723101104.9982271
DEBUG 2024-09-12 11:53:44,690 autoreload File /home/arpreet/Desktop/ContactsApi/myenv/lib/python3.12/site-packages/asgiref/local.py first seen with mtime 1723101104.1982157
DEBUG 2024-09-12 11:53:44,690 autoreload File /home/arpreet/Desktop/ContactsApi/authentication/contact/views.py first seen with mtime 1726138280.4817936
DEBUG 2024-09-12 11:53:44,690 autoreload File /usr/lib/python3.12/configparser.py first seen with mtime 1722447828.0
DEBUG 2024-09-12 11:53:44,691 autoreload File /usr/lib/python3.12/warnings.py first seen with mtime 1722447828.0
DEBUG 2024-09-12 11:53:44,691 autoreload File /home/arpreet/Desktop/ContactsApi/myenv/lib/python3.12/site-packages/django/core/checks/security/sessions.py first seen with mtime 1723101104.9312263
DEBUG 2024-09-12 11:53:44,691 autoreload File /usr/lib/python3.12/asyncio/transports.py first seen with mtime 1722447828.0
DEBUG 2024-09-12 11:53:44,691 autoreload File /home/arpreet/Desktop/ContactsApi/myenv/lib/python3.12/site-packages/django/contrib/messages/constants.py first seen with mtime 1723101104.7502236
DEBUG 2024-09-12 11:53:44,691 autoreload File /usr/lib/python3.12/copy.py first seen with mtime 1722447828.0
DEBUG 2024-09-12 11:53:44,691 autoreload File /home/arpreet/Desktop/ContactsApi/myenv/lib/python3.12/site-packages/rest_framework/permissions.py first seen with mtime 1723101202.1935837
DEBUG 2024-09-12 11:53:44,691 autoreload File /home/arpreet/Desktop/ContactsApi/myenv/lib/python3.12/site-packages/django/contrib/staticfiles/__init__.py first seen with mtime 1723101104.923226
DEBUG 2024-09-12 11:53:44,691 autoreload File /home/arpreet/Desktop/ContactsApi/myenv/lib/python3.12/site-packages/django/utils/encoding.py first seen with mtime 1723101105.0072272
DEBUG 2024-09-12 11:53:44,692 autoreload File /home/arpreet/Desktop/ContactsApi/myenv/lib/python3.12/site-packages/django/contrib/admin/sites.py first seen with mtime 1723101104.355218
DEBUG 2024-09-12 11:53:44,692 autoreload File /home/arpreet/Desktop/ContactsApi/myenv/lib/python3.12/site-packages/django/utils/formats.py first seen with mtime 1723101105.0072272
DEBUG 2024-09-12 11:53:44,692 autoreload File /home/arpreet/Desktop/ContactsApi/myenv/lib/python3.12/site-packages/django/contrib/admindocs/utils.py first seen with mtime 1723101104.4742196
DEBUG 2024-09-12 11:53:44,692 autoreload File /usr/lib/python3.12/heapq.py first seen with mtime 1722447828.0
DEBUG 2024-09-12 11:53:44,692 autoreload File /usr/lib/python3.12/lib-dynload/_queue.cpython-312-x86_64-linux-gnu.so first seen with mtime 1722447828.0
DEBUG 2024-09-12 11:53:44,692 autoreload File /home/arpreet/Desktop/ContactsApi/myenv/lib/python3.12/site-packages/django/views/decorators/cache.py first seen with mtime 1723101105.0132275
DEBUG 2024-09-12 11:53:44,692 autoreload File /home/arpreet/Desktop/ContactsApi/myenv/lib/python3.12/site-packages/django/contrib/sessions/exceptions.py first seen with mtime 1723101104.8352249
DEBUG 2024-09-12 11:53:44,692 autoreload File /home/arpreet/Desktop/ContactsApi/myenv/lib/python3.12/site-packages/django/templatetags/cache.py first seen with mtime 1723101104.9992273
DEBUG 2024-09-12 11:53:44,693 autoreload File /home/arpreet/Desktop/ContactsApi/myenv/lib/python3.12/site-packages/django/contrib/admin/utils.py first seen with mtime 1723101104.355218
